TongCount=9, MemberCount=13, UnionCount=0
TongName	MasterName	TongLevel	TongExp	SelfCamp	AllMemberCount	DirectorCount	ManagerCount	MemberCount	BuildLevel	MoneyFund	BuildFund	WarBuildFund	MaintainFund	StoredOffer	StoredBuildFund	UnionNum	UnionName	IsUnionLeader	UnionCamp
Ph¸Thiªn	TestTVB	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0		0	0
ThÝchPK	TestTL	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0		0	0
Huynh§Ö	TestND	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0		0	0
Destroy	Qu¸chÙT­¬ng	0	0	3	5	0	4	0	4	4118	43876	106649	0	111000	0	0		0	0
TiÕuNg¹o	TestNM	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0		0	0
T×nh	TestVD	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0		0	0
Thiªn§Þa	TestCL	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0		0	0
BèGiµ	TestTLQ	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0		0	0
AnhEm	TestTN	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0		0	0
